date,code,name,buy_date,buy_price,qty,capital_pct,stop_loss,target_price,buy_method,current_price,pnl_pct,pnl_amt,status,level,notes
2026-03-24,600396,华电辽能,2026-03-24,6.9,43400,0.3,6.69,7.59,竞价买入,7.58,9.86,29512.0,已平仓:收盘自动平仓(20260324),6,自动买入 | 主升 | 竞价+0.15% | 平仓:收盘自动平仓(20260324)
2026-03-24,600376,首开股份,2026-03-24,5.9,50800,0.3,5.72,6.49,竞价买入,5.72,-3.05,-9144.0,已平仓:触及止损(5.58<=5.72),1,自动买入 | 主升 | 竞价+0.51% | 平仓:触及止损(5.58<=5.72)
2026-03-24,603787,新日股份,2026-03-24,15.92,18800,0.3,15.44,17.51,等回调至+6%,15.44,-3.02,-9024.0,已平仓:触及止损(15.15<=15.44),1,自动买入 | 主升 | 竞价+7.42% | 平仓:触及止损(15.15<=15.44)
